toxic,nontoxic,bart,custom_transformer,bart_rouge1,bart_rouge2,bart_rougeL,bart_rougeLsum,bart_meteor,bart_bleu,bart_wer,custom_transformer_rouge1,custom_transformer_rouge2,custom_transformer_rougeL,custom_transformer_rougeLsum,custom_transformer_meteor,custom_transformer_bleu,custom_transformer_wer,toxic_toxicity,nontoxic_toxicity,bart_toxicity,custom_transformer_toxicity
"When you get to Digallo, you're gonna turn this big bastard left... and you're gonna go down a couple of miles until you see a bar called the Titty Twister.","when you get there, take this big cow to your left... you're going to drive a couple of miles until you see a bar called Titty Twister.","when you reach Digallo, you turn around and go for a couple of miles.","when you get back to the roof , you 'll turn it down and leave you alone.",0.333,0.2,0.333,0.333,0.252,0.074,0.815,0.273,0.095,0.273,0.273,0.232,0.0,0.815,0.0029,0.3722,0.0007,0.0138
These are dream images of what's coming to kill you.,they're a dream display of what's killing you.,these are dream images of what's coming to you.,these dream of course do what you 're coming for.,0.5,0.222,0.5,0.5,0.511,0.0,0.625,0.5,0.0,0.4,0.4,0.273,0.0,1.25,0.0001,0.0022,0.003,0.0268
"I may be bald, but I'm not chicken-shit.","maybe I'm bald, but I'm not chicken.","I may be bald, but I'm not.","i can be wearing a steak , but i 'm not high chicken.",0.706,0.533,0.706,0.706,0.715,0.467,0.714,0.571,0.316,0.571,0.571,0.689,0.0,1.429,0.0001,0.0025,0.0001,0.0128
He was calling you devil.,he called you the Devil.,he was calling you the devil.,he was calling you!,0.727,0.444,0.727,0.727,0.965,0.435,0.4,0.444,0.0,0.444,0.444,0.433,0.0,0.8,0.0001,0.0002,0.0002,0.001
"Hey, have you ever thought about just fucking giving up and just doing your time?","hey, did you ever think about giving up, and you'd better serve it up?","hey, have you ever thought of giving up and just doing your time?",do you ever think about what i thought about your time?,0.429,0.231,0.429,0.429,0.33,0.0,0.643,0.308,0.25,0.308,0.308,0.214,0.148,0.714,0.0047,0.0012,0.0006,0.0005
"Look, I said I'll fucking be...!",I said I'd be there!,"look, I said I'd be...","look , i said i 'll be able to be ...",0.833,0.8,0.833,0.833,0.701,0.298,0.6,0.533,0.308,0.533,0.533,0.507,0.0,1.6,0.0002,0.0002,0.0003,0.0022
"Then you can lick his blood off Hearteater, too.",then you will taste the heart of Behaviour and his blood.,and you can get his blood back too.,then you can the yankees to get off blood.,0.421,0.118,0.316,0.316,0.318,0.0,0.909,0.4,0.111,0.4,0.4,0.378,0.0,0.636,0.0366,0.0033,0.0409,0.0052
"The phone scared me, so I killed it.","the phone scared me, so I broke it.","the phone scared me, so I hung up.","the phone scared me , so i killed him.",0.75,0.714,0.75,0.75,0.794,0.661,0.25,0.75,0.714,0.75,0.75,0.794,0.661,0.5,0.0002,0.0001,0.0001,0.0695
"Shit, we missed it.",we missed it.,we really missed this.,we missed it.,0.571,0.0,0.571,0.571,0.366,0.0,0.667,1.0,1.0,1.0,1.0,0.992,1.0,0.0,0.0002,0.0004,0.0003,0.0004
Think they'il do that before or after they kill us?,do you think they'll do it before or after they shoot us?,do you think they'd do it before or after?,do you think they 're gon na do before they get us?,0.783,0.667,0.783,0.783,0.707,0.401,0.417,0.64,0.261,0.64,0.64,0.592,0.0,0.583,0.001,0.0009,0.0002,0.0857
"Leave me the hell alone, Mum.","give me a break, Mom!","leave me alone, Mom.","leave me alone , mom!",0.444,0.0,0.444,0.444,0.37,0.0,0.8,0.444,0.0,0.444,0.444,0.543,0.0,0.6,0.0002,0.0004,0.0059,0.0064
"You're a dead man, you know that?","you're dead, you know?","you're a dead man, you know?","you 're a dead man , you know?",0.833,0.4,0.833,0.833,0.934,0.383,0.75,0.833,0.4,0.833,0.833,0.934,0.316,1.5,0.0003,0.0105,0.1767,0.3118
I hear house is treating you like crap.,I hear House treats you like I'm packing.,I hear your house is calling you.,i hear is gon na have any house of you like me.,0.5,0.143,0.5,0.5,0.255,0.0,0.75,0.476,0.211,0.476,0.476,0.414,0.0,1.0,0.0001,0.0001,0.0003,0.1042
"You're mine now, splinter.","you're mine now, Mote.","you're mine now, splinter.",you 're mine now.,0.8,0.75,0.8,0.8,0.841,0.537,0.25,0.889,0.857,0.889,0.889,0.712,0.0,1.0,0.798,0.0157,0.2403,0.0986
What kind of junk are you talkin'?,what are you talking about?,what are you talking about?,what kind of stuff are you talking about?,1.0,1.0,1.0,1.0,0.998,1.0,0.0,0.769,0.545,0.769,0.769,0.935,0.467,0.6,0.0001,0.0011,0.0011,0.0001
"Torture is when you take your nasty neighbor's cat, you suffocate it in a bag, you wait til he's nearly passed out, you take a pair of scissors, you poke","the torment is when you take a neighbour's cat, and you choke her in a bag, and just before she dies, you get the scissors,","when you take your neighbour's cat, you put him in a bag, you wait till","unlike your decision when you take your god 's sake , you 're in a bag , you 're in a bag.",0.524,0.3,0.524,0.524,0.416,0.141,0.6,0.435,0.182,0.391,0.391,0.349,0.135,0.8,0.0002,0.0925,0.0001,0.0784
"Go on, jog on, walk on, goodbye, bon voyage, fuck off.","go on, go on, go, go, bon voyage.","come on, jog on, walk on, good-bye, let's go.","go on , give me a little brown , bye ,"" brown 's sake , grandma.",0.316,0.0,0.316,0.316,0.303,0.0,0.875,0.2,0.111,0.2,0.2,0.259,0.0,1.875,0.0003,0.0003,0.0004,0.3321
How the fuck are they tracking us at night?,how can they trace us in the dark?,how do they track us at night?,how do they say he was at night?,0.4,0.0,0.4,0.4,0.418,0.0,0.625,0.25,0.0,0.25,0.25,0.351,0.0,0.75,0.0001,0.0002,0.0002,0.0001
"So, why the hell would you throw your damn keys away?!",then why did you throw the keys?!,why would you throw your keys out?!,why would you throw your keys in the keys?,0.571,0.167,0.571,0.571,0.568,0.0,0.714,0.625,0.286,0.625,0.625,0.618,0.0,0.857,0.0001,0.0042,0.0002,0.0003
hanah montana pamela anderson sex video linkin park bb8 big brother 2girls1cup orgasm amnesia ibiza hentai akon wwe xxx sex scenes enrique iglesias jonas brothers kama sutra nude power rangers mistic forse basshunter sexy girls,amnesia ibiza power rangers mistic forse BB8 big brother amnesia ibiza power rangers mistic forse BB8 big brother pamela anderson sex video BB8 big brother hanah montana amnesia ibiza power rangers mistic forse,hanah montana pamela anderson - Big brother 2 girls1 cup of champagne,steam turns turbine ... screaming and left the little brother left their brother left.,0.273,0.143,0.182,0.182,0.182,0.0,0.879,0.087,0.0,0.087,0.087,0.032,0.0,0.939,0.1096,0.0084,0.0018,0.014
You want to freeze to death?,you want to freeze?,you want to freeze?,you want to freeze?,1.0,1.0,1.0,1.0,0.996,1.0,0.0,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.0002,0.0003,0.0003,0.0003
You can fuck off yourself.,you go out there by yourself.,you can go somewhere.,you can get out of yourself.,0.4,0.0,0.4,0.4,0.221,0.0,0.833,0.5,0.0,0.5,0.5,0.637,0.0,0.667,0.0002,0.004,0.0011,0.0029
"Even then, AngeI'd probably kill him on principle.","even so, he would probably have killed him, no longer in principle.","even then, Ange, I would have killed him on principle.",then he kept him out of principle.,0.545,0.2,0.545,0.545,0.633,0.0,0.667,0.316,0.0,0.316,0.316,0.26,0.0,0.833,0.0001,0.0017,0.0003,0.0006
Maybe he just didn't like this black girl.,maybe he didn't like this girl.,maybe he didn't like the black girl.,maybe he did n't like that girl.,0.8,0.615,0.8,0.8,0.854,0.411,0.333,0.667,0.308,0.667,0.667,0.865,0.0,0.5,0.0005,0.0007,0.0036,0.0007
You think I give a shit about cops?,do you think any cops care about me?,you think I care about the police?,do you think i care about the cops?,0.533,0.308,0.533,0.533,0.501,0.0,0.625,0.75,0.429,0.625,0.625,0.705,0.0,0.5,0.0002,0.0001,0.0001,0.0002
"For all this junk, I haven't got the time.",I didn't have time for this.,"for all this stuff, I don't have time.","for all the time , i have no time.",0.75,0.286,0.5,0.5,0.69,0.0,1.333,0.533,0.0,0.4,0.4,0.305,0.0,1.333,0.0001,0.0001,0.0002,0.0009
"Food makes you crap, dancing doesn't.","the food is useless, but the dance is not.","the food makes you happy, the music doesn't.",those food makes me there.,0.333,0.125,0.333,0.333,0.338,0.0,0.667,0.143,0.0,0.143,0.143,0.095,0.0,0.889,0.0001,0.0001,0.0001,0.0002
"I'm gonna see that happen, sister, before I die.",and I'll see how it happens before I die.,I hope that's what happens to my sister before I die.,"i 'll see that happened , sister before i always.",0.455,0.2,0.455,0.455,0.502,0.224,0.889,0.526,0.353,0.526,0.526,0.577,0.0,0.778,0.0002,0.0003,0.0003,0.0056
"""Up to the age of eight months he's a pewmet, then he's a cock until fourteen months, and then he's a snood-""","""by the age of nine months he's a man, then a pipe until a fortnight, and then he's called a...","""up to eight months, he's a patter, then he'll be a",""" i have to spend a eight months months - wall months and then he 's a couple of dollars , and he 's got a old months.",0.4,0.242,0.4,0.4,0.254,0.0,0.8,0.468,0.222,0.34,0.34,0.382,0.0,1.2,0.9982,0.1979,0.1186,0.0201
I'll thump you with it!,I'll drag you down here with him!,I'll have you with it!,i 'll put you with it.,0.571,0.167,0.571,0.571,0.423,0.0,0.571,0.571,0.167,0.571,0.571,0.359,0.0,0.857,0.0004,0.0001,0.0007,0.0015
Kiss my ass.,kiss me.,Kiss my face.,kiss me.,0.4,0.0,0.4,0.4,0.323,0.0,1.0,1.0,1.0,1.0,1.0,0.981,0.0,0.0,0.9577,0.0015,0.987,0.0015
"Shit, we wouldn't.","we wouldn't do it, either.",we wouldn't do that.,we would n't be.,0.727,0.667,0.727,0.727,0.621,0.0,0.4,0.364,0.0,0.364,0.364,0.487,0.0,0.8,0.0001,0.0002,0.0001,0.0002
We gotta burn the rest of them.,we have to burn the leftovers.,we have to get the rest.,we have to be the rest of them.,0.667,0.4,0.667,0.667,0.637,0.0,0.333,0.571,0.333,0.571,0.571,0.619,0.0,0.667,0.0131,0.0001,0.0008,0.0037
"Fuck, no!",hell no!,no way!,"no , no!",0.5,0.0,0.5,0.5,0.333,0.0,1.0,0.5,0.0,0.5,0.5,0.605,0.0,1.0,0.0001,0.0005,0.0003,0.0011
A liar!,he's lying!,I'm lying!,you 're lying.,0.333,0.0,0.333,0.333,0.469,0.0,0.5,0.333,0.0,0.333,0.333,0.125,0.0,1.5,0.0002,0.0071,0.0001,0.3189
"Shit, the other one said.","dude, he said the other one.",the other one said nothing.,one other said.,0.727,0.444,0.545,0.545,0.572,0.0,1.0,0.667,0.0,0.222,0.222,0.263,0.0,0.833,0.0001,0.067,0.0012,0.001
You can't even keep your fucking eyes open.,you can't keep your eyes peeled.,and you can't even keep your eyes open.,you ca n't keep your eyes open.,0.75,0.571,0.75,0.75,0.82,0.0,0.5,0.667,0.462,0.667,0.667,0.865,0.0,0.5,0.0002,0.0092,0.0245,0.0248
Assassins!,robber!,they're the savants!,bloody jokes.,0.0,0.0,0.0,0.0,0.217,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3268,0.0016,0.0008,0.0025
"When my vagina burst into flames and became an actual burning bush? Wait, that's yours?",when my fly is in pain and will it be a real burning bush?,when my vagina erupted and it became a real fire?,"when a navy faxed become a small and an small heart , is that you 're a real brother?",0.5,0.182,0.5,0.5,0.481,0.0,0.571,0.313,0.067,0.25,0.25,0.275,0.0,1.143,0.5641,0.0002,0.727,0.0617
"Societies and economies, formerly inefficient and just plain stupid, were rationalized.","societies and economies, previously inefficient and just plain, were lethargic.","the societies and economies, once inefficient and just plain stupid, were rationalised.","steam 's turbine , and steam 's left themselves , they were screaming.",0.727,0.5,0.727,0.727,0.813,0.37,0.5,0.19,0.0,0.19,0.19,0.191,0.0,1.1,0.0001,0.0001,0.0001,0.0008
"Oh, no, he still does his share of ass-covering.","no no, she's still doing her share of cover...","no, he still takes part in the coverup.","no , he still does his share for five grand.",0.222,0.0,0.222,0.222,0.267,0.0,0.778,0.316,0.0,0.316,0.316,0.265,0.0,0.778,0.0021,0.0005,0.0004,0.001
"Well, that narrows it down to something personal and stupid.",so it limited us to something personal and pointless.,that narrows it down to something personal and blunt.,"well , that turns down a personal thing and was a terrible thing.",0.556,0.375,0.556,0.556,0.562,0.291,0.556,0.19,0.0,0.19,0.19,0.144,0.0,1.222,0.0373,0.0012,0.0009,0.0088
"Damn, he got the peritoneum open.","hell, he opened his belly.",he opened the peritoneum.,he got the wall.,0.444,0.286,0.444,0.444,0.376,0.0,0.6,0.222,0.0,0.222,0.222,0.147,0.0,0.8,0.0002,0.2017,0.0028,0.0005
He saw Clifford blow his brains out.,he saw Clifford running his head through a bullet.,he saw Clifford's face.,he saw his minds.,0.429,0.333,0.429,0.429,0.391,0.0,0.778,0.462,0.182,0.462,0.462,0.469,0.0,0.667,0.0001,0.0013,0.001,0.0094
"You're a prick! If this is fucked up, I wanna know how.","if you screwed up, I want to know how.","if this is messed up, I want to know how it is.","if you want to know , i want to know how.",0.667,0.526,0.667,0.667,0.782,0.46,0.667,0.737,0.588,0.737,0.737,0.889,0.571,0.444,0.0001,0.0002,0.0001,0.0007
"And it's just little boys pissing on the face Of a greek god that looks like him a lot. ""just piss on me forever!""",and they're little boys who pee on their faces. A Greek god that looks a lot like him.,"it's just a little bit of fun for the kids, Greek God that looks like him","and just little guys have done that paper on earth like that looks like a lot of paper :""",0.444,0.235,0.389,0.389,0.362,0.153,0.722,0.432,0.114,0.378,0.378,0.302,0.0,0.778,0.8917,0.9481,0.5257,0.0842
I did not knowthat boy was corrupt.,I didn't know the boy was underpaid.,I didn't know the boy was corrupt.,i did n't cut the boy from frank.,0.875,0.857,0.875,0.875,0.882,0.707,0.143,0.471,0.133,0.471,0.471,0.625,0.0,0.714,0.0001,0.0001,0.0001,0.0017
"Yeah, I told her she'd be crazy to not like it. But then again, she is a functioning psychotic, so it's like, who knows?","I told her she was going to love it, but she actually had a mental breakdown, so you never know...","yeah, I told her she didn't like it, but then again, she's a","yeah , i told her she would n't be like that , but it 's not again , so i 'm not working.",0.457,0.242,0.457,0.457,0.449,0.134,0.7,0.341,0.154,0.293,0.293,0.359,0.135,0.9,0.0005,0.0003,0.0355,0.0208
You must have put a bug up his ass.,you put a bug in his head.,you must have put a bug into him.,you must put the green down.,0.533,0.308,0.533,0.533,0.551,0.0,0.714,0.308,0.0,0.308,0.308,0.19,0.0,0.857,0.0004,0.1889,0.0022,0.0002
"I told you I'd pay you back, asshole!",I told you I'd pay it back in time.,I promised you I'd pay you back.,i told you i 'd pay you back.,0.667,0.375,0.667,0.667,0.53,0.0,0.556,0.778,0.625,0.778,0.778,0.65,0.0,0.667,0.0001,0.0002,0.0002,0.0579
Did she know you were gonna use the gun to kill her father?,did she know you were gonna use a gun to her father?,did she know you'd use a gun to get her father?,did she know you were gon na use the gun to her father?,0.833,0.636,0.833,0.833,0.783,0.36,0.333,0.8,0.609,0.8,0.8,0.927,0.545,0.25,0.0006,0.0137,0.0133,0.0512
"Before you know it, you're doing shit you would have never imagined.","before you know it, you're gonna do something that never occurred to you.","before you know it, you've done something you couldn't even imagine.","before you know , you 're doing things , you 'd never have taken anything.",0.519,0.32,0.519,0.519,0.576,0.279,0.615,0.519,0.24,0.444,0.444,0.49,0.0,0.846,0.0005,0.0262,0.0023,0.0211
"I know I shouldn't be thinking what I'm thinking... ... but the way this goddamn girl looks,I mean...",I'm telling you... I shouldn't think like that...... but what a girl looks like.,"I know I shouldn't be thinking about it, but the way this girl looks, I","i know i should n't have thought i thought , but i 'm doing this girl who 's got the girl.",0.438,0.2,0.438,0.438,0.334,0.0,0.857,0.324,0.057,0.27,0.27,0.303,0.0,1.357,0.0017,0.4538,0.0047,0.0186
Pull them all up and fucking send them back to him!,call them all and send them to him!,all right and send them back to him!,pull them up and send them to him back.,0.75,0.429,0.75,0.75,0.747,0.0,0.5,0.706,0.533,0.706,0.706,0.647,0.411,0.5,0.0012,0.0005,0.002,0.004
We gotta get the fuck out of here as fast as we can.,we must leave as soon as possible.,we have to get out of here as fast as we can.,we have to get out of here as quick as we can.,0.316,0.0,0.316,0.316,0.235,0.0,1.286,0.316,0.0,0.316,0.316,0.235,0.0,1.286,0.0001,0.0002,0.0005,0.0008
"Damn it, she shouldn't need sleep this badly yet, no matter how much stress she had been under lately.","she shouldn't be so sleepy, no matter what she's done in the last few days.","she shouldn't have had sleep so much lately, no matter how much pressure she was under","she should n't have become a bunch of snow , and he had just much miles miles miles.",0.412,0.188,0.412,0.412,0.397,0.0,0.867,0.114,0.0,0.114,0.114,0.196,0.0,1.133,0.0001,0.0002,0.0001,0.0127
"I mean, he's sperm-tastic!",it's just spermatic.,"I mean, he's very excited.","i mean , he 's left - jokes.",0.2,0.0,0.2,0.2,0.189,0.0,1.667,0.2,0.0,0.2,0.2,0.185,0.0,2.667,0.0001,0.0179,0.0001,0.0157
"Tell me, Bill, which sexual dysfunction are you proposing we treat?","so tell me, Bill, what kind of sexual dysfunction do you think we're supposed to treat?","tell me, Bill, what sexual dysfunction are you suggesting?","tell me , bill , which was just screaming we 're playing with?",0.538,0.333,0.538,0.538,0.504,0.277,0.562,0.357,0.231,0.357,0.357,0.401,0.195,0.938,0.0015,0.0218,0.0019,0.0089
Lisa Marshall is DDK's latest victim-- the Whore of Babylon.,Lisa Marshall is the judge's last victim.,Lisa Marshall is the last victim of the DDK.,lisa is 16 months of m & m.,0.706,0.533,0.706,0.706,0.697,0.325,0.714,0.267,0.0,0.267,0.267,0.167,0.0,1.0,0.8776,0.0002,0.0005,0.0016
What an ass. And the winner of the Highland Games is our very own Colin McMurray!,and the winner of the Highland Games is... our Colin McMurray!,and the winner of the Highland Games is our own Colin McMurray.,"and sure , the sun will be afraid of our fans.",0.957,0.857,0.957,0.957,0.838,0.549,0.273,0.381,0.0,0.381,0.381,0.155,0.0,0.909,0.0001,0.0002,0.0002,0.0012
Colin from Human Resources - would you... would you suck him off?,so... Colin from HR-vye... would you smoke him out for him?,Colin from Human Resources... would you please pull him off?,human human fish ... would you get him out?,0.455,0.2,0.455,0.455,0.46,0.245,0.727,0.4,0.222,0.4,0.4,0.376,0.229,0.727,0.6553,0.0008,0.0002,0.0036
"Digger, come back here!","Digger, come back here, Digger.","come back, come on!","13b , come back!",0.444,0.286,0.444,0.444,0.192,0.0,0.8,0.5,0.333,0.5,0.5,0.332,0.0,1.0,0.9992,0.0392,0.0004,0.0519
"Not in the face, fuck!",not in the face!,not in the face.,not in the face!,1.0,1.0,1.0,1.0,0.794,0.669,0.25,1.0,1.0,1.0,1.0,0.996,1.0,0.0,0.0002,0.0153,0.0096,0.0153
"You are un-fucking believable, you know that?","you're not self-deprecating, you know that?","you're not believable, you know?","you 're the green , you know?",0.714,0.5,0.714,0.714,0.756,0.0,0.5,0.571,0.333,0.571,0.571,0.632,0.0,1.167,0.0001,0.0001,0.0003,0.0417
"They got my ""dick"" message!",they got my message about the Volvo!,they got my message!,"they have my friend! """,0.727,0.667,0.727,0.727,0.629,0.388,0.571,0.364,0.0,0.364,0.364,0.192,0.0,0.714,0.0969,0.0001,0.001,0.1435
God damn it.,oh God.,"oh, my God.","oh , my god.",0.8,0.0,0.8,0.8,0.799,0.0,1.0,0.8,0.0,0.8,0.8,0.799,0.0,1.0,0.0002,0.0002,0.0002,0.0003
"Ma, what the hell are you doing here?","Mama, what on earth are you doing here?",what are you doing here?,that was what you 're doing here?,0.769,0.545,0.769,0.769,0.613,0.408,0.375,0.533,0.154,0.533,0.533,0.455,0.0,0.75,0.0018,0.0001,0.0004,0.0024
"""You have real talent, but you must reach, goddamn it.""","""you have talent, but you have a hell of a lot of work to do.""","""you have real talent, but you must reach out for it.""",""" you have bad hair , but of you was ryan ,""",0.385,0.25,0.385,0.385,0.463,0.203,0.733,0.417,0.091,0.333,0.333,0.289,0.0,0.867,0.0003,0.1115,0.0462,0.4693
One might even call it... donkey-brained.,it might even be said... address.,one might even call it...,one could even call it on an alarm.,0.545,0.222,0.364,0.364,0.477,0.0,0.667,0.286,0.0,0.143,0.143,0.247,0.0,1.167,0.8748,0.0006,0.0006,0.0002
But I'm not enjoying shit.,but I'm definitely not amused.,but I don't enjoy it.,but i 'm not happy.,0.333,0.2,0.333,0.333,0.365,0.0,0.8,0.727,0.444,0.727,0.727,0.646,0.0,0.6,0.0001,0.0003,0.0002,0.0032
It was probably those wretched gypsies.,it must have been the curse of the gypsies.,it was probably the gypsies.,it was the same world and the world.,0.429,0.167,0.429,0.429,0.391,0.0,0.667,0.353,0.0,0.353,0.353,0.202,0.0,0.778,0.9997,0.9997,0.1237,0.0206
# I'd be one of my outfits without a dick-ie #,# I'd be in my clothes without my shirt,I'd be in one of my clothes without a tie.,# i 'd be one of my jokes without her pocket.,0.7,0.556,0.7,0.7,0.659,0.0,0.556,0.526,0.235,0.526,0.526,0.551,0.0,0.778,0.9996,0.0006,0.0002,0.0751
"I'm, like, the most grown-up grown-up ever compared to your dumb asses.","compared to you, I'm the most grown-up adult.",I'm like the most grown-up I've ever compared to you.,"i 'm like , the most fun , you did n't try to play something else.",0.783,0.571,0.522,0.522,0.735,0.0,1.125,0.48,0.174,0.32,0.32,0.544,0.0,1.75,0.0001,0.0019,0.0002,0.0043
"Look, you've got Freslin boiling in your brain.","hey, it's Freslin in your head.",you've got Freslin in your mind.,"look , you 've got an alarm.",0.429,0.333,0.429,0.429,0.56,0.0,0.5,0.0,0.0,0.0,0.0,0.112,0.0,1.167,0.0002,0.0209,0.0029,0.0032
"Now you're just watching fat, hairy men drive trucks.","now, you just watch the furry driver of the trucks.","you're just looking at fat, hairy guys driving trucks.","now you 're just looking at course , you 're just missing democracy.",0.3,0.0,0.3,0.3,0.31,0.0,0.8,0.273,0.1,0.273,0.273,0.305,0.0,1.1,0.0004,0.0006,0.0019,0.0078
Don't leave me with this psycho!,do not leave me alone!,don't leave me here!,do n't leave me with the must ...,0.4,0.25,0.4,0.4,0.526,0.0,0.6,0.462,0.182,0.462,0.462,0.412,0.0,1.0,0.0043,0.0003,0.0007,0.0028
Yeah. I need a serious fucking favor.,"yeah, I really need a favor.","yeah, I need a serious favor.","yeah , i need a serious joke.",0.833,0.4,0.833,0.833,0.841,0.0,0.333,0.667,0.4,0.667,0.667,0.703,0.0,0.833,0.0001,0.0003,0.0003,0.0038
Somebody owes us a goddamn apology.,and someone owes me an apology.,someone owes us an apology.,someone needs us to spend an irish.,0.727,0.444,0.727,0.727,0.701,0.0,0.333,0.308,0.0,0.308,0.308,0.211,0.0,1.0,0.0002,0.0183,0.001,0.0006
"Almost all of them were people coming north, streaming out of Boston, stricken with fear, panicstupid.","almost everyone was going north; they were running out of Boston, trembling with fear, fooling around with panic.","n't all of them were people coming from the North, streaming out of Boston","it 's almost been behind the north battle , behind the battle , growing council , and growing growing growing in the governor.",0.303,0.129,0.242,0.242,0.24,0.0,0.944,0.105,0.0,0.105,0.105,0.113,0.0,1.222,0.0816,0.0021,0.0096,0.0147
So just get your shit and get out of here.,then pack your things and get out.,then get out of here.,so just get out of here and get out.,0.5,0.2,0.5,0.5,0.405,0.0,0.857,0.375,0.286,0.375,0.375,0.59,0.263,0.857,0.0034,0.0119,0.9431,0.8918
"We're out there every day, putting our asses on the line.","we're there every day, putting our lives on the line.","we're out there every day, putting our lives on the line.","we 're out there every day , so we 're going to make our papers.",0.957,0.857,0.957,0.957,0.991,0.842,0.1,0.48,0.261,0.48,0.48,0.619,0.169,1.3,0.0002,0.0002,0.0002,0.0077
"You bugger, is that my coat?","dude, is that my coat?",is that my coat?,"you sound , my coat?",0.889,0.857,0.889,0.889,0.732,0.67,0.2,0.444,0.286,0.444,0.444,0.543,0.0,0.6,0.0002,0.0003,0.0007,0.0013
Your bloody house just broke my light.,your flooded house just destroyed my light.,your house just broke the light.,your house broke my light.,0.615,0.182,0.615,0.615,0.565,0.0,0.429,0.667,0.2,0.667,0.667,0.572,0.0,0.429,0.0002,0.0001,0.0001,0.0001
"No, you're spitting on me, so mellow-fucking-out.","no, but you're spitting on me.","no, you're kidding, so quiet.","no , you 're watering me so sing , so.",0.462,0.182,0.462,0.462,0.413,0.0,0.667,0.533,0.154,0.533,0.533,0.463,0.0,1.667,0.0002,0.3361,0.007,0.0366
"Find katherine, get the cure, get out Before you get your neck snapped again.","find Katherine, get the cure, get out before someone breaks your neck.","find Katherine, get the cure, get out before your neck gets broken again.","find out , get the papers out before you get out of your neck.",0.8,0.696,0.8,0.8,0.916,0.639,0.417,0.64,0.348,0.56,0.56,0.595,0.0,0.667,0.812,0.0334,0.0733,0.1874
"Hey, yo, dog, I'd love to kick it with you and...","hey, buddy, I'd like to talk to you and...","hey, dude, I'd like to have you and...","hey , man , i 'd love to you and ... and you 're getting out.",0.737,0.471,0.737,0.737,0.75,0.488,0.333,0.522,0.286,0.522,0.522,0.572,0.289,1.556,0.0003,0.0001,0.0002,0.002
"He thinks they would go, that their curiosity would drive them in spite of the obvious risks involved (a drift-mine this old, running through earth this uneasy, shit, a loud yell might be enough to bring the roof down), but the talk would get back to the prancing little MSHA faggot in no time flat, and when it did, losing his job would be the least of Ripton ‘s worries.","they'd probably go there, curiosity would have propelled them, even though it was obviously risky (such an old malfunction, leading into such an unstable rock, for the hell, it would have been loud enough, and the ceiling would have fallen), but the talk would bring the boomach-man from the DBZS before he could say, and then Ripton was concerned that losing a job would have bothered him at least.","he thinks they'll go, that their curiosity will drive them in spite of the obvious risks","he thinks they do , they want to go , and if they were just their glass?",0.159,0.0,0.114,0.114,0.054,0.0,0.986,0.093,0.0,0.07,0.07,0.064,0.0,0.986,0.9976,0.1541,0.0004,0.0062
The only thing that's really changed is now I need a daily rape shower.,"I mean, the only thing that's changed is that I need a shower today.",the only thing that's changed is that I need a daily shower.,the only thing that 's really long is now i need every day.,0.857,0.769,0.857,0.857,0.774,0.612,0.286,0.571,0.385,0.571,0.571,0.496,0.0,0.714,0.5166,0.0003,0.0004,0.0116
"Shut her the fuck up, or I swear to God...",whether he keeps his mouth shut or I swear to God...,"quiet, or I swear to God...",and i swear to god ... or i swear to god ...,0.588,0.533,0.588,0.588,0.516,0.509,0.545,0.476,0.421,0.476,0.476,0.499,0.443,0.727,0.0002,0.0012,0.0004,0.0311
Shut her up!,stop her!,quiet!,"quiet , quiet!",0.0,0.0,0.0,0.0,0.172,0.0,1.0,0.0,0.0,0.0,0.0,0.161,0.0,1.5,0.0002,0.0122,0.0009,0.0008
We'il knock you out for a couple of hours.,I'm going to sleep you for a couple of hours.,we'll keep you here for a few hours.,you 'll be able to get a couple of hours.,0.4,0.111,0.4,0.4,0.378,0.0,0.7,0.571,0.316,0.476,0.476,0.63,0.382,0.6,0.0003,0.0002,0.0002,0.0017
You're being a bully.,you intimidate him.,you're the one.,you 're being a mr.,0.286,0.0,0.286,0.286,0.244,0.0,1.0,0.25,0.0,0.25,0.25,0.238,0.0,1.333,0.0217,0.171,0.0143,0.6336
"'Everyone shut up,' said Conina firmly, 'and you, take us to Ankh-Morpork.'","""now, all of you,"" Conina said firmly, ""and you will take us to Ankh-Morpork immediately.""","""everyone is quiet,"" said Conina firmly, ""And you, take us to An","' everyone said"" sat down ,"" sat up ,"" and you 're just able to take us.",0.571,0.308,0.5,0.5,0.509,0.252,0.6,0.4,0.143,0.333,0.333,0.39,0.155,1.0,0.0002,0.0072,0.1788,0.067
"Fuck! Thanks, honey.","thank you, baby.","thanks, honey.","thanks , baby.",0.0,0.0,0.0,0.0,0.306,0.0,1.0,0.4,0.0,0.4,0.4,0.765,0.0,0.667,0.0007,0.0002,0.0002,0.0002
Damn. We need water.,we need water.,we need water.,we need water.,1.0,1.0,1.0,1.0,0.992,1.0,0.0,1.0,1.0,1.0,1.0,0.992,1.0,0.0,0.0001,0.0002,0.0002,0.0002
"I mean, no wonder you have an excess trash problem.",no wonder you have a problem with excess waste.,"I mean, no reason you have such a waste.","no , you do n't have an teacher.",0.556,0.125,0.556,0.556,0.506,0.0,0.778,0.353,0.0,0.353,0.353,0.202,0.0,0.778,0.0001,0.0008,0.0001,0.0008
